	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
PWY-5399	TYR	L-DIHYDROXY-PHENYLALANINE	DOPAQUINONE	CPD-8652	PROTON	CPD-8653	CPD-8654																				
PWY-5412	CPD-4750	CPD-8695	CPD-8705	CPD-8706	CPD-8707	PROTON	NADP																				
PWY-5651	TRP	N-FORMYLKYNURENINE	CPD-14736	3-HYDROXY-L-KYNURENINE	PROTON	WATER	3-HYDROXY-ANTHRANILATE	2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI																			
PWY-5660	OXYGEN-MOLECULE	TAXA-42011-DIEN-5A-OL	TAXA-42011-DIEN-5-ALPHA-YL-ACETATE	10-BETA-HYDROXYTAXA-42011-DIEN-5-ALPH	10-DEACETYL-2-DEBENZOYLBACCATIN-III	10-DEACETYLBACCATIN-III	BACCATIN-III	CPD-12845	CPD-9203	PROTON																	
PWY-5706	CPD-17439	CPD-17444	CPD-17443	CPD-9298	CPD-9269	CPD-9273	CPD-9275	CPD-9293	CPD-9296																		
PWY-5707	OXYGEN-MOLECULE	CPD-9307	CPD-9304	WATER	CPD-17439	CPD-17438	CPD-9317	CPD-17436	HYDROGEN-PEROXIDE																		
PWY-5748	L-ALPHA-ALANINE	CPD-9423	CPD-9424	Acceptor	Donor-H2	PROTON	CPD-9425	CPD-9426																			
PWY-5808	ISOVALERYL-COA	3-METHYL-1-246-TRIHYDROXYPHENYLBUTAN	PROTON	CPD-7104	4-PRENYLPHLORISOBUTYROPHENONE	CPD-7107	CPD-9635																				
PWY-5809	CPD-9625	CPD-9618	CPD-9628	CPD-9629	CPD-9615	CPD-9632	CPD-9633	CPD-9621																			
PWY-5822	CPD-12575	PROTON	TRICHLOROETHENE	CPD-9675	CL-	NADPH	NADP	OXYGEN-MOLECULE	CPD-9673	CPD-9676																	
PWY-5826	2-OXOBUTANOATE	CPD-9727	OXOPENTENOATE	CPD-9734	CPD-9735	CPD-9736	CPD-9737	CPD-9738	CPD-9739	CPD-9699	CPD-9700																
PWY-5837	CHORISMATE	ISOCHORISMATE	CPD-9924	CPD-9923	O-SUCCINYLBENZOATE	CPD-6972	CPD-9925	PROTON	WATER	CO-A	PPI																
PWY-5843	ACETYL-COA	CPD-9771	CPD-9772	CPD-9773	CPD-9774	PROTON	CPD-9779	Demethylated-methyl-acceptors																			
PWY-5846	NADPH	CPD-9786	PROTON	CPD-9789	CPD-9788	CPD-14544	CPD-9787	WATER	FORMATE																		
PWY-5871	4-hydroxybenzoate	NONAPRENYL-4-HYDROXYBENZOATE	CPD-9896	CPD-9898	CPD-9866	CPD-9870	CPD-9872	CPD-7158	PROTON	WATER																	
PWY-5872	FARNESYL-PP	CPD-9610	CPD-9864	CPD-9895	CPD-9897	CPD-9865	CPD-9869	CPD-9871	CPD-9873	PROTON	WATER																
